date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
02:56:17	90/90	---M-Z	200	added ('OK')	text/plain	etag:%224a-60d0891684488-gzip%22	https://arpitsahay18.carrd.co/robots.txt		(from )
02:56:17	236254/236254	---MCZ	200	added ('OK')	text/html	date:Thu,%2021%20Dec%202023%2017:38:29%20GMT	https://arpitsahay18.carrd.co/	C:/My%20Web%20Sites/portfolio/arpitsahay18.carrd.co/index.html	(from )
02:56:19	96192/96192	---M--	200	added ('OK')	image/jpeg	etag:%22177c0-60d08913f2d00%22	https://arpitsahay18.carrd.co/assets/images/card.jpg?v=07731aa9	C:/My%20Web%20Sites/portfolio/arpitsahay18.carrd.co/assets/images/cardacff.jpg	(from https://arpitsahay18.carrd.co/)
02:56:20	4684/4684	---MCZ	200	added ('OK')	text/html	date:Sun,%2024%20Dec%202023%2021:26:43%20GMT	https://arpitsahay18.carrd.co/cdn-cgi/l/email-protection	C:/My%20Web%20Sites/portfolio/arpitsahay18.carrd.co/cdn-cgi/l/email-protection.html	(from https://arpitsahay18.carrd.co/)
02:56:21	158477/158477	---M--	200	added ('OK')	image/jpeg	etag:%2226b0d-60d08914dc748%22	https://arpitsahay18.carrd.co/assets/images/container02.jpg?v=07731aa9	C:/My%20Web%20Sites/portfolio/arpitsahay18.carrd.co/assets/images/container02acff.jpg	(from https://arpitsahay18.carrd.co/)
02:56:22	21200/21200	---M--	200	added ('OK')	image/jpeg	etag:%2252d0-5f2a9921f60b0%22	https://arpitsahay18.carrd.co/assets/images/image01.jpg?v=07731aa9	C:/My%20Web%20Sites/portfolio/arpitsahay18.carrd.co/assets/images/image01acff.jpg	(from https://arpitsahay18.carrd.co/)
02:56:23	19941/19941	---M--	200	added ('OK')	image/jpeg	etag:%224de5-60afa43a3ec30%22	https://arpitsahay18.carrd.co/assets/images/image05.jpg?v=07731aa9	C:/My%20Web%20Sites/portfolio/arpitsahay18.carrd.co/assets/images/image05acff.jpg	(from https://arpitsahay18.carrd.co/)
02:56:24	55483/55483	---M--	200	added ('OK')	image/jpeg	etag:%22d8bb-60afa43a43e38%22	https://arpitsahay18.carrd.co/assets/images/image04.jpg?v=07731aa9	C:/My%20Web%20Sites/portfolio/arpitsahay18.carrd.co/assets/images/image04acff.jpg	(from https://arpitsahay18.carrd.co/)
02:56:26	21227/21227	---M--	200	added ('OK')	image/jpeg	etag:%2252eb-60afa43a48870%22	https://arpitsahay18.carrd.co/assets/images/image02.jpg?v=07731aa9	C:/My%20Web%20Sites/portfolio/arpitsahay18.carrd.co/assets/images/image02acff.jpg	(from https://arpitsahay18.carrd.co/)
02:56:27	77856/77856	---M--	200	added ('OK')	image/jpeg	etag:%2213020-6058db4a039d8%22	https://arpitsahay18.carrd.co/assets/images/image07.jpg?v=07731aa9	C:/My%20Web%20Sites/portfolio/arpitsahay18.carrd.co/assets/images/image07acff.jpg	(from https://arpitsahay18.carrd.co/)
02:56:29	92344/92344	---M--	200	added ('OK')	image/jpeg	etag:%22168b8-602619482e328%22	https://arpitsahay18.carrd.co/assets/images/image06.jpg?v=07731aa9	C:/My%20Web%20Sites/portfolio/arpitsahay18.carrd.co/assets/images/image06acff.jpg	(from https://arpitsahay18.carrd.co/)
02:56:29	1239/1239	---MCZ	200	added ('OK')	application/javascript	etag:W/%226581a422-4d7%22	https://arpitsahay18.carrd.co/cdn-cgi/scripts/5c5dd728/cloudflare-static/email-decode.min.js	C:/My%20Web%20Sites/portfolio/arpitsahay18.carrd.co/cdn-cgi/scripts/5c5dd728/cloudflare-static/email-decode.min.js	(from https://arpitsahay18.carrd.co/)
02:56:30	637/637	---MCZ	404	error ('Not%20Found')	text/html	date:Sun,%2024%20Dec%202023%2021:26:53%20GMT	https://arpitsahay18.carrd.co/done	C:/My%20Web%20Sites/portfolio/arpitsahay18.carrd.co/done	(from https://arpitsahay18.carrd.co/)
